"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",11.55,1.58139427227613,7.30368144269034,1.0895576730666e-09,8.38208660122365,14.7179133987763
"dose",7.81142857142857,1.19542170548132,6.53445435666021,2.02775256564356e-08,5.41671113481383,10.2061460080433
"supp_vc",-8.25500000000001,2.23642922731204,-3.69115190375225,0.000507339303179277,-12.735106092973,-3.77489390702705
"dose_x_supp",3.90428571428572,1.69058158864685,2.30943347573702,0.024631358134488,0.517643837373816,7.29092759119762
