"Predictor","Q25","Q50","Q75"
"(Intercept)",4.6939339157601,13.0549777466154,17.7999999999764
"dose",10.0121321684776,6.67251112669099,5.80000000000404
"supp_vc",-3.22726724909571,-8.52164441331972,-12.6999999999832
"dose_x_supp",1.05453449818923,4.26082220666314,6.40000000000321
