,OR,CI_lower,CI_upper,p_value
Sex (Female),11.246537978775738,8.54081560671699,14.809430660061347,1.434208607184162e-66
Age (Child),2.8908262950104913,1.7918560599079165,4.663810255134858,1.3605984575215253e-05
Class: 1st,2.357675451300403,1.7320261191264332,3.209324312307783,5.0048441053226886e-08
Class: 2nd,0.8517869890018536,0.605899943045992,1.1974602126308012,0.35596576857755324
Class: 3rd,0.39848474493624975,0.29780523286966926,0.53320114766553,5.930793990043043e-10
