"Factor","Indicator","Std_Loading","SE","p"
"visual","x1",0.771880719099138,0.0549726554268391,0
"visual","x2",0.423601841658074,0.0596190650043641,1.20192744645919e-12
"visual","x3",0.58113226322415,0.055139266473923,0
"textual","x4",0.851582471792654,0.0225430563831326,0
"textual","x5",0.855065680704751,0.0223412110666394,0
"textual","x6",0.838010342686877,0.023355138206666,0
"speed","x7",0.569516154199535,0.0531547661655129,0
"speed","x8",0.723044461474298,0.0505304713388248,0
"speed","x9",0.665009552630709,0.0510942484632946,0
