Predictor,HR,CI_lower,CI_upper,p,C-index
sex,0.6171861819196697,0.4201243327480816,0.9066810785772537,0.01392563560782186,0.5668629100084104
age,1.0201522383005772,0.9989287970067677,1.0418265970788978,0.0628790464304824,0.5581721334454723
ph.ecog,1.596461852516538,1.2324573949034374,2.0679744850248754,0.0003956347332143451,0.6133538921596112
ph.karno,0.9877900928342531,0.9749508294655999,1.0007984382518338,0.06570963060462935,0.5966264835062144
pat.karno,0.9812577775178135,0.9694652729931845,0.9931937252031594,0.0021615936010180785,0.6086814316419026
meal.cal,0.9998769319285222,0.9994032365183878,1.0003508518599844,0.6107136880881885,0.5350901784879918
wt.loss,1.000286798366762,0.9872961783844777,1.013448345990841,0.9657052235159055,0.5127558172133445
