covariate,HR,HR_lower,HR_upper,p
sex,0.576462077078971,0.38888534076786563,0.8545154354598414,0.006091631483210517
age,1.0107060129255478,0.987964715738276,1.0339707767807291,0.3590659386095376
ph.ecog,2.0837615022670413,1.345238908086703,3.2277255528579634,0.0010080598295073384
ph.karno,1.0227090668812817,1.00042535960895,1.0454891266351147,0.04573838201648
pat.karno,0.9876602770035112,0.9721916286988703,1.003375048678596,0.12316470377042633
meal.cal,1.0000332869719586,0.9995248537612395,1.0005419788098933,0.8979212390812437
wt.loss,0.9857718299536545,0.9708708154113335,1.0009015466372553,0.06518215759817819
