Component,Eigenvalue,Proportion,Cumulative
PC1,2.9380850501999953,0.7296244541329986,0.7296244541329986
PC2,0.9201649041624879,0.22850761786701776,0.9581320720000164
PC3,0.1477418210449482,0.03668921889282879,0.9948212908928452
PC4,0.02085386217646261,0.00517870910715488,1.0
