,F,df1,df2,p,eta2,sig
sepal_length,119.26450218450468,2,147,1.6696691907693826e-31,0.6187057307384866,sig
sepal_width,49.160040089612075,2,147,4.492017133309115e-17,0.4007828470763342,sig
petal_length,1180.161182252981,2,147,2.8567766109615584e-91,0.9413717190573679,sig
petal_width,960.007146801809,2,147,4.169445839443116e-85,0.928882930101213,sig
