,sepal_length,sepal_width,petal_length,petal_width
petal_length,100.0,89.25184445264033,0.0,86.73469387755102
petal_width,19.151102419806257,89.78622327790974,91.0691003911343,0.0
sepal_length,0.0,97.37537158529317,44.103780176886566,51.148021740155265
sepal_width,44.417865587461726,0.0,50.30454301378534,37.29232951591427
versicolor,4.391403410210674,7.369766904680146,10.916327581850608,7.220333444060294
virginica,0.16948622396358978,3.4059331254226444,6.838855308390507,6.990954036542647
