,PC1,PC2,PC3,PC4
sepal_length,0.5210659146701196,0.37741761556456765,0.7195663527008164,-0.2612862799524539
sepal_width,-0.26934744250594306,0.9232956595407145,-0.2443817795143994,0.12350961958551966
petal_length,0.5804130957962943,0.024491609085585817,-0.14212636933390257,0.8014492463359884
petal_width,0.5648565357793609,0.06694198696805827,-0.634272737110924,-0.5235971345661897
