DV,Pair,Mean_Diff,CI_Low,CI_High,t,p,Cohens_d
sepal_length,setosa vs versicolor,-0.9299999999999997,-1.1032537191519995,-0.756746280848,-10.52098626754911,3.746742613983842e-17,-2.104197253509822
sepal_length,setosa vs virginica,-1.581999999999998,-1.7835260975655491,-1.380473902434447,-15.386195820079404,3.9668672709859296e-25,-3.077239164015881
sepal_length,versicolor vs virginica,-0.6519999999999984,-0.8790176733208216,-0.4249823266791751,-5.629165259719801,1.8661443873771226e-07,-1.12583305194396
sepal_width,setosa vs versicolor,0.6579999999999995,0.5215977478191796,0.7944022521808194,9.454975848128596,2.4842278957476994e-15,1.8909951696257195
sepal_width,setosa vs virginica,0.45399999999999974,0.3160477763861703,0.5919522236138292,6.45034908963073,4.570771423961144e-09,1.2900698179261456
sepal_width,versicolor vs virginica,-0.20399999999999974,-0.3287254649219634,-0.07927453507803603,-3.2057607502218186,0.0018194834821049677,-0.6411521500443637
petal_length,setosa vs versicolor,-2.7979999999999996,-2.9368630634834183,-2.659136936516581,-39.492719391538095,9.934432957587695e-46,-7.898543878307619
petal_length,setosa vs virginica,-4.09,-4.2503723068363115,-3.9296276931636887,-49.98618625709594,9.26962758534569e-50,-9.997237251419188
petal_length,versicolor vs virginica,-1.2920000000000007,-1.4929175114319313,-1.09108248856807,-12.603779441384987,4.90028752739806e-22,-2.5207558882769976
petal_width,setosa vs versicolor,-1.0799999999999998,-1.1421120535806053,-1.0178879464193944,-34.08034154357719,2.7170077826349404e-47,-6.816068308715439
petal_width,setosa vs virginica,-1.7800000000000002,-1.8615410767650271,-1.6984589232349734,-42.7857975196172,2.437136067130111e-48,-8.557159503923438
petal_width,versicolor vs virginica,-0.7000000000000004,-0.7938096114478685,-0.6061903885521323,-14.625367047410148,2.1115344009885736e-25,-2.925073409482029
